연번,업종명,업소명,소재지(도로명),소재지(지번),소재지전화,등록기준일
1207,일반음식점,본죽 세종고운점,"세종특별자치시 마음로 264, 1층 108호 (고운동, 고운프라자)",세종특별자치시 고운동 1370 ,,2025-06-09
1208,일반음식점,맥시칸치킨 세종고운점,"세종특별자치시 마음로 322, 상가동 1층 104호 (고운동, 가락마을22단지)",세종특별자치시 고운동 1387 ,044 -865 -9956,2025-06-09
1209,일반음식점,비에이치씨(bhc) 세종시청점,"세종특별자치시 시청대로 213, 금강베네치아 1층 111호 (보람동)",세종특별자치시 보람동 616-3 금강베네치아 ,044 -866 -9592,2025-06-09
1210,일반음식점,바우가든,"세종특별자치시 장군면 장기로 650-7, 1동 2층",세종특별자치시 장군면 은용리 81-3 ,,2025-06-09
1211,일반음식점,차이킹,"세종특별자치시 나성남로 7-16, 신영드림타워 2층 201,202,203호 (나성동)",세종특별자치시 나성동 786 신영드림타워 ,044 -865 -0789,2025-06-09
1212,일반음식점,미소푸드,"세종특별자치시 부강면 부강로 64, 1층",세종특별자치시 부강면 부강리 407-1 ,044 -868 -4146,2025-06-09
1213,일반음식점,킹 국대 무한리필,"세종특별자치시 보듬3로 143, 주건축물제1동 2층 201호 (아름동, 대영프라자)",세종특별자치시 아름동 1335 ,,2025-06-09
1214,일반음식점,양짬뽕,"세종특별자치시 금남면 신촌2길 1-3, 1층 2,3,4,5호",세종특별자치시 금남면 신촌리 124-3 ,044 -867 -2029,2025-06-09
1215,일반음식점,집밥한식부페,세종특별자치시 부강면 부강외천로 139,세종특별자치시 부강면 문곡리 927 ,044 -866 -3828,2025-06-09
1216,일반음식점,백두회수산 2호점,"세종특별자치시 고운서4길 7, 주건축물제1동 2층 (고운동)",세종특별자치시 고운동 1634 ,044 -863 -3888,2025-06-09
1217,일반음식점,효미주막,세종특별자치시 금남면 황용1길 28-12,세종특별자치시 금남면 황용리 463-6 ,,2025-06-09
1218,일반음식점,유림옥,"세종특별자치시 연동면 청연로 402, 주1동 1층",세종특별자치시 연동면 응암리 791-5 ,042 -862 -0808,2025-06-09
1219,일반음식점,메밀정원,"세종특별자치시 금남면 도남1길 156, 1층",세종특별자치시 금남면 원봉리 591-5 ,042 -822 -5542,2025-06-09
1220,일반음식점,동네분식,"세종특별자치시 금남면 용포로 97, 1층",세종특별자치시 금남면 용포리 198-7 ,044 -868 -0797,2025-06-09
1221,일반음식점,백두회수산 1호점,"세종특별자치시 고운서4길 7, 주건축물제1동 1층 (고운동)",세종특별자치시 고운동 1634 ,044 -863 -3888,2025-06-09
1222,일반음식점,불닭발땡초 동대문엽기떡볶이 조치원점,"세종특별자치시 조치원읍 조치원1길 26, 1층",세종특별자치시 조치원읍 교리 25-12 (1층) ,044 -862 -5890,2025-06-09
1223,일반음식점,THE 큰 김밥카페,"세종특별자치시 보듬3로 143, 주건축물제1동 1층 104호 (아름동, 대영프라자)",세종특별자치시 아름동 1335 104호,,2025-06-09
1224,일반음식점,우동의진수,"세종특별자치시 한누리대로 201, 1층 116호 (나성동, 우빈가온)",세종특별자치시 나성동 715 ,044 -866 -7214,2025-06-09
